ID,Code,Report,Account,Level,Parent
1,1000000,Balance Sheet,Ativo,Level 1,NULL
2,1010000,Balance Sheet,Ativo Circulante,Level 2,1000000
3,1010100,Balance Sheet,Dinheiro & Equivalentes,Level 3,1010000
4,1010101,Balance Sheet,Carteira,Level 4,1010101
5,1010102,Balance Sheet,Cart?o Vale-Alimenta‡?o,Level 4,1010101
6,1010103,Balance Sheet,Conta Corrente Ita£,Level 4,1010101
7,1010104,Balance Sheet,Aplica‡?es Autom ticas Ita£,Level 4,1010101
8,1010105,Balance Sheet,Conta Corrente Banco do Brasil,Level 4,1010101
9,1010200,Balance Sheet,Carteira de Curto Prazo,Level 3,1010000
10,1010201,Balance Sheet,Carteira 1,Level 4,1010200
11,1010202,Balance Sheet,Carteira 2,Level 4,1010200
12,1010300,Balance Sheet,Contas A Receber,Level 3,1010000
13,1010301,Balance Sheet,Despesas Reembols veis,Level 4,1010300
14,1010302,Balance Sheet,Adiantamento de Despesas,Level 4,1010300
15,1020000,Balance Sheet,Ativo N?o Circulante,Level 2,1000000
16,1020100,Balance Sheet,Ativos de Longo Prazo,Level 3,1020000
17,1020101,Balance Sheet,Cr‚dito com Amigos,Level 4,1020100
18,1020102,Balance Sheet,Cr‚dito com Familiares,Level 4,1020100
19,1020103,Balance Sheet,Partes Relacionadas,Level 4,1020100
20,1020200,Balance Sheet,Aposentadoria,Level 3,1020000
21,1020201,Balance Sheet,FGTS,Level 4,1020200
22,1020202,Balance Sheet,Previdˆncia Privada 1,Level 4,1020200
23,1020203,Balance Sheet,Previdˆncia P£blica 1,Level 4,1020200
24,1020204,Balance Sheet,Previdˆncia Privada 2,Level 4,1020200
25,1020205,Balance Sheet,Previdˆncia P£blica 2,Level 4,1020200
26,1020206,Balance Sheet,Conta Poupan‡a,Level 4,1020200
27,1020300,Balance Sheet,Ativos Imobilizados,Level 3,1020000
28,1020301,Balance Sheet,Eletr“nicos,Level 4,1020300
29,1020302,Balance Sheet,M¢veis,Level 4,1020300
30,1020303,Balance Sheet,Ve¡culos,Level 4,1020300
31,1020304,Balance Sheet,Outros Artigos,Level 4,1020300
32,1020305,Balance Sheet,Propriedades,Level 4,1020300
33,1020400,Balance Sheet,Ativos Intang¡veis,Level 3,1020000
34,1020401,Balance Sheet,Ativos Intang¡veis,Level 4,1020400
35,1020402,Balance Sheet,Outros Ativos Intang¡veis,Level 4,1020400
36,2000000,Balance Sheet,Passivo,Level 1,NULL
37,2010000,Balance Sheet,Passivo Circulante,Level 2,2000000
38,2010100,Balance Sheet,Contas a Pagar,Level 3,2010000
39,2010101,Balance Sheet,Condom¡nio A Pagar,Level 4,2010100
40,2010102,Balance Sheet,Empregadas,Level 4,2010100
41,2010103,Balance Sheet,Impostos,Level 4,2010100
42,2010104,Balance Sheet,Outras Contas A Pagar,Level 4,2010100
43,2010200,Balance Sheet,Cart?es de Cr‚dito,Level 3,2010000
44,2010201,Balance Sheet,Nubank,Level 4,2010200
45,2010202,Balance Sheet,Cart?o Ita£ Master,Level 4,2010200
46,2010203,Balance Sheet,Cart?o Ita£ Visa,Level 4,2010200
47,2010204,Balance Sheet,Cart?o BB Black,Level 4,2010200
48,2010205,Balance Sheet,Cart?o Amex,Level 4,2010200
49,2010300,Balance Sheet,D¡vidas de Curto Prazo,Level 3,2010000
